,Country,Elect_tech,Grid_status,2008 Gen Est,2009 Gen Est,2010 Gen Est,2011 Gen Est,2012 Gen Est,2013 Gen Est,2014 Gen Est,2015 Gen Est,2016 Gen Est,2017 Gen Est,2018 Gen Est,2019 Gen Est
0,Afghanistan,Fossil fuels,Off-grid,41.505,45.275,44.85,97.9,79.375,98.7,81.413,37.013,30.198,27.158,31.39,39.68
1,Afghanistan,Fossil fuels,On-grid,253.57,147.325,134.45,136.95,114.2,108.675,88.725,109.65,118.12,136.46,155.373,141.085
2,Afghanistan,Off-grid Solar photovoltaic,Off-grid,,0.004,0.18,0.212,28.374,29.644,32.319,33.32,35.499,35.769,34.946,34.125
3,Afghanistan,Renewable hydropower,Off-grid,14.822,36.827,46.089,48.219,55.896,74.754,95.495,109.708,107.598,119.652,105.841,130.397
4,Afghanistan,Renewable hydropower,On-grid,577.073,717.0,757.05,634.125,680.25,780.075,872.188,890.863,917.31,929.051,821.811,1012.478
5,Albania,On-grid Solar photovoltaic,On-grid,0.272,0.408,0.544,0.767,0.924,1.03,1.188,1.428,1.36,1.2,1.334,22.196
6,Albania,Renewable hydropower,On-grid,3797.0,5201.0,7567.0,4132.0,4725.0,6959.0,4724.441,5895.0,7781.702,4524.979,8552.152,5183.847
7,Algeria,Concentrated solar power,On-grid,,,0.1,103.117,193.233,192.536,196.833,148.206,134.4,186.111,133.11,133.11
8,Algeria,Fossil fuels,On-grid,39703.234,42427.8,44999.65,50668.017,56814.81,59313.052,63851.9,68504.335,70791.074,75382.0,75880.0,80681.0
9,Algeria,Renewable hydropower,On-grid,282.715,342.0,172.78,378.222,389.4,98.481,192.6,145.318,72.0,56.0,117.0,152.0
10,American Samoa,Fossil fuels,Off-grid,2.017,2.057,2.02,1.956,1.803,1.953,1.869,1.715,1.544,0.784,0.784,0.784
11,American Samoa,Fossil fuels,On-grid,183.861,171.518,156.062,153.16,153.316,151.92,152.893,159.677,166.255,161.208,161.208,161.208
12,American Samoa,On-grid Solar photovoltaic,On-grid,,,,0.267,1.409,2.419,2.363,2.494,3.125,3.735,3.735,3.735
13,Andorra,Renewable hydropower,On-grid,63.0,62.0,100.0,78.9,76.182,101.779,113.416,85.671,84.355,85.099,114.358,85.597
14,Andorra,Renewable municipal waste,On-grid,15.7,19.0,12.7,12.3,11.676,12.904,13.392,13.809,14.161,17.0,20.511,21.544
15,Angola,Fossil fuels,Off-grid,70.758,70.758,150.522,237.9,682.042,1273.747,1688.883,1735.654,1764.659,1909.685,1909.685,1909.685
16,Angola,Fossil fuels,On-grid,1083.753,1780.0,1930.0,1821.631,2422.46,4550.0,4500.0,4629.6,4534.937,3086.478,3086.478,3086.478
17,Angola,Off-grid Solar photovoltaic,Off-grid,6.811,7.526,10.079,10.96,13.637,15.335,16.986,18.271,18.271,18.271,18.271,18.271
18,Angola,Renewable hydropower,Off-grid,48.804,49.458,50.948,52.469,49.982,49.211,61.125,61.125,61.125,94.336,94.336,94.336
19,Angola,Renewable hydropower,On-grid,3133.327,3286.143,3634.641,3990.446,3789.847,3589.344,4978.803,4978.803,6225.001,8749.837,11228.586,12467.961
20,Anguilla,Fossil fuels,On-grid,89.502,91.223,98.569,95.391,89.475,88.562,89.503,92.264,102.024,100.268,100.515,105.812
21,Antigua and Barbuda,Fossil fuels,On-grid,296.0,327.4,329.5,329.0,330.0,330.0,336.0,340.0,344.0,344.0,352.378,212.868
22,Antigua and Barbuda,On-grid Solar photovoltaic,On-grid,,0.158,0.158,0.473,0.473,0.63,0.63,5.355,5.434,5.828,9.608,13.073
23,Argentina,Fossil fuels,Off-grid,917.066,924.404,968.9,1009.116,1049.262,1037.462,800.11,830.641,809.337,809.337,809.337,809.337
24,Argentina,Fossil fuels,On-grid,68515.662,63655.679,68671.543,75468.645,83493.81,83940.304,84290.527,87616.484,90873.352,88443.0,87727.0,80136.69
25,Argentina,Nuclear,On-grid,7330.388,8161.669,7170.885,6370.904,6395.161,6206.899,5513.941,7038.881,8284.702,5716.3,6453.0,7927.077
26,Argentina,Off-grid Solar photovoltaic,Off-grid,0.144,0.076,0.086,0.1,0.11,0.134,0.186,0.146,0.14,0.14,0.142,1.249
27,Argentina,On-grid Solar photovoltaic,On-grid,,,,1.514,8.06,14.958,15.748,14.669,14.403,16.0,108.0,799.685
28,Argentina,Onshore wind energy,On-grid,41.951,36.832,25.352,26.231,369.24,461.27,619.043,598.665,554.047,670.269,1413.0,4995.966
29,Argentina,Pumped storage,On-grid,538.26,714.914,551.322,560.805,718.766,648.727,722.876,816.548,823.66,823.66,823.66,604.954
30,Argentina,Renewable hydropower,Off-grid,9.476,10.065,12.926,8.333,7.728,4.76,8.489,5.514,2.415,5.328,5.328,5.328
31,Argentina,Renewable hydropower,On-grid,30908.606,34367.939,33261.59,31274.117,28931.365,32715.259,32367.109,33974.586,29306.308,38760.34,39128.34,34765.204
32,Argentina,Solid biofuels,On-grid,933.361,1105.539,1212.983,1255.691,1351.278,1406.631,1070.362,1148.286,1474.209,1788.707,1638.442,1903.902
33,Armenia,Fossil fuels,On-grid,1853.9,1154.1,1438.3,2390.3,3399.1,3173.1,3288.6,2801.2,2581.5,2871.8,3375.6,3046.9
34,Armenia,Nuclear,On-grid,2461.6,2493.7,2490.0,2548.1,2322.0,2359.7,2464.8,2787.7,2380.5,2619.6,2076.1,2197.8
35,Armenia,Onshore wind energy,On-grid,1.9,4.3,7.0,5.6,4.1,3.8,4.0,3.7,1.8,2.1,1.9,3.3
36,Armenia,Renewable hydropower,On-grid,1797.0,2019.4,2556.1,2488.7,2311.0,2173.4,1992.6,2205.6,2351.4,2269.0,2318.2,2370.9
37,Aruba,Fossil fuels,On-grid,913.607,907.68,833.993,817.889,779.122,776.804,755.257,755.547,802.109,834.234,827.094,810.756
38,Aruba,On-grid Solar photovoltaic,On-grid,,,0.088,0.351,1.141,2.283,5.707,9.658,10.712,10.712,10.712,10.712
39,Aruba,Onshore wind energy,On-grid,,16.638,106.159,112.237,134.199,148.994,155.61,166.419,134.179,133.054,136.392,136.392
40,Australia,Biogas,On-grid,859.0,1031.0,1016.0,1025.0,1624.0,1601.0,1635.0,1491.0,1271.0,1193.0,1254.0,1332.0
41,Australia,Concentrated solar power,On-grid,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0
42,Australia,Fossil fuels,On-grid,223347.0,229493.0,230893.0,227433.0,224509.0,216511.0,211256.0,217871.0,219115.0,217564.0,216366.0,212002.0
43,Australia,Geothermal energy,On-grid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,
44,Australia,Marine energy,On-grid,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
45,Australia,On-grid Solar photovoltaic,On-grid,123.0,156.0,386.0,1388.0,2322.0,3472.0,4007.0,5019.0,6205.0,8069.0,9926.0,14845.0
46,Australia,Onshore wind energy,On-grid,3093.0,3824.0,5052.0,6085.0,6970.0,7960.0,10252.0,11467.0,12199.0,12597.0,15164.0,17712.0
47,Australia,Pumped storage,On-grid,148.0,67.0,47.0,113.0,104.0,154.0,83.0,121.0,297.0,248.0,217.0,365.0
48,Australia,Renewable hydropower,On-grid,11909.0,11802.0,13502.0,16694.0,13979.0,18116.0,18338.0,13324.0,15021.0,16037.0,15804.0,15602.0
49,Australia,Solid biofuels,On-grid,3737.0,1784.0,1761.0,1077.0,1419.0,1551.0,1876.0,2117.0,2451.0,2308.0,2264.0,2164.0
50,Austria,Biogas,On-grid,601.945,608.603,646.155,625.115,641.672,622.787,613.294,633.524,665.712,670.346,628.313,611.865
